id;discount_name;discount_type;discount_value;discount_status
1;mobile Fish;Home Loan Account Table Computer;5808;FTP Savings Account
2;deposit Tasty Metal Bacon Implementation;Chips;18340;methodology Albania
3;Home Namibia;Steel zero administration;36636;Common
4;Savings Account syndicate Planner;Refined Rubber Chicken Table;6505;Factors
5;South Dakota envisioneer Music;Nakfa;44015;Rubber Buckinghamshire Games
6;incentivize Tuna copy;Costa Rica Mayotte;18485;Facilitator
7;Views e-enable Communications;National Awesome sky blue;4522;software scale interactive
8;Louisiana Specialist Home Loan Account;Plastic;80219;Small
9;deliverables reinvent 24 hour;overriding;70685;application quantify Unbranded Plastic Tuna
10;Internal;Investment Account archive Fantastic Plastic Chicken;32518;pixel withdrawal
