id;product_name;product_type;product_status;origin_price
1;Mississippi embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;43933
2;red;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;20306
3;Brand;neutral Salad;Auto Loan Account modular Refined;45653
4;mint green e-business EXE;back-end;granular Direct contextually-based;64769
5;Jewelery cutting-edge;Games;Iraq Bedfordshire;69243
6;encompassing;Directives;sky blue;55810
7;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;97661
8;paradigms Home;Investor Public-key;Lebanon;44778
9;Dominican Republic Credit Card Account Handmade;Ergonomic transmitter;Point Orchestrator;39882
10;bypassing optical;installation;Argentine Peso;85835
